Region,Industry,Number_of_firms,ROE,EPS_Growth,PE,PBV,PS,Beta,Cost_of_Equity,CEO_holding,Institutional_holding
EMG,Hospitals/Healthcare Facilities,107,3.80%,-0.24%,35.81,2.7,2.83,0.85,10.00%,12.67%,14.13%
EMG,Hotel/Gaming,396,9.80%,5.50%,93.92,1.61,2.06,0.94,10.75%,11.59%,11.99%
EMG,Household Products,257,17.62%,8.32%,68.09,5.4,3.19,0.99,11.19%,17.31%,10.38%
EMG,Information Services,70,20.58%,9.41%,47.31,2.94,2.84,1.19,12.89%,14.47%,14.49%
EMG,Insurance (General),140,10.86%,4.62%,19.12,1.73,0.92,0.52,7.12%,9.51%,16.97%
EMG,Insurance (Life),71,15.19%,10.96%,16.77,1.48,0.91,0.91,10.46%,0.73%,20.02%
EMG,Insurance (Prop/Cas.),138,10.13%,7.41%,21.22,1.03,0.56,0.47,6.75%,5.50%,23.83%
EMG,Investments & Asset Management,334,8.23%,1.65%,127.47,0.8,2.2,0.87,10.19%,14.13%,16.46%
EMG,Machinery,723,7.26%,3.10%,45.57,1.65,1.33,1.24,13.34%,15.26%,8.96%
EMG,Metals & Mining,311,9.22%,3.13%,45.59,1.29,0.86,1.42,14.85%,9.45%,10.32%
EMG,Office Equipment & Services,72,7.58%,3.59%,40.42,2.3,1.28,0.84,9.87%,20.88%,7.45%
EMG,Oil/Gas (Integrated),24,10.47%,6.83%,25.15,0.68,0.44,1.19,12.87%,4.49%,12.24%
EMG,Oil/Gas (Production and Exploration),133,5.11%,0.09%,51.23,1.16,1.9,1.62,16.62%,3.71%,17.35%
EMG,Oil/Gas Distribution,84,5.23%,0.03%,62.12,1.26,0.55,1.27,13.60%,14.08%,17.80%
EMG,Oilfield Svcs/Equip.,236,12.12%,6.96%,54.39,1.62,0.56,1.4,14.68%,12.05%,11.99%
EMG,Packaging & Container,278,8.67%,5.11%,260.5,1.6,1.09,0.8,9.54%,16.70%,9.64%
