Region,Industry,Number_of_firms,ROE,EPS_Growth,PE,PBV,PS,Beta,Cost_of_Equity,CEO_holding,Institutional_holding
EMG,Paper/Forest Products,194,10.51%,6.58%,50.87,1.3,0.98,0.97,10.99%,10.32%,9.83%
EMG,Power,360,8.52%,2.23%,26.23,1.08,1.06,0.85,9.99%,4.32%,11.84%
EMG,Precious Metals,89,7.15%,1.59%,55.13,1.85,1.24,1.44,15.05%,7.75%,19.85%
EMG,Publishing & Newspapers,170,8.11%,4.37%,60.09,1.79,2.29,1.06,11.76%,13.80%,10.89%
EMG,R.E.I.T.,203,11.31%,5.40%,31.87,0.87,8.47,0.44,6.47%,1.45%,30.48%
EMG,Real Estate (Development),701,15.33%,7.84%,55.84,0.78,1,1.21,13.04%,15.06%,10.57%
EMG,Real Estate (General/Diversified),262,9.74%,7.03%,28.89,0.65,2.71,1.09,12.07%,16.09%,12.11%
EMG,Real Estate (Operations & Services),297,10.64%,7.63%,54.3,0.78,4.66,0.86,10.09%,10.74%,13.52%
EMG,Recreation,133,7.74%,2.38%,61.51,1.45,1.79,0.98,11.10%,11.79%,8.59%
EMG,Reinsurance,30,7.08%,4.12%,11.74,1.07,0.96,0.96,10.96%,1.46%,41.24%
EMG,Restaurant/Dining,126,17.38%,8.18%,58.02,4.23,1.64,1.1,12.09%,13.22%,15.31%
EMG,Retail (Automotive),87,15.23%,5.13%,26.58,1.47,0.32,1.05,11.68%,14.86%,10.65%
EMG,Retail (Building Supply),23,15.88%,6.72%,22.82,3.84,1.14,1.24,13.34%,7.43%,15.42%
EMG,Retail (Distributors),575,7.11%,1.53%,92.29,0.96,0.29,0.94,10.71%,17.06%,10.54%
EMG,Retail (General),136,8.89%,5.03%,58.13,1.63,0.75,1.13,12.39%,14.88%,14.79%
EMG,Retail (Grocery and Food),64,17.97%,7.70%,38.76,3.52,0.76,0.83,9.83%,13.73%,17.06%
EMG,Retail (Online),60,-134.38%,-133.85%,646.68,2.59,2.36,1.33,14.09%,14.74%,15.93%
EMG,Retail (Special Lines),163,10.08%,4.73%,33.23,1.79,0.68,1.18,12.83%,18.80%,14.80%
EMG,Rubber& Tires,74,6.89%,3.79%,24.38,1.28,0.79,0.87,10.14%,11.87%,10.50%
EMG,Semiconductor,399,19.53%,12.47%,59.7,1.93,2.14,1.71,17.36%,10.86%,10.82%
EMG,Semiconductor Equip,183,14.85%,10.51%,56.7,1.57,1.25,1.84,18.47%,18.34%,10.00%
EMG,Shipbuilding & Marine,231,7.15%,2.76%,45.95,0.99,1.4,1.07,11.90%,8.41%,13.36%
EMG,Shoe,60,10.28%,3.69%,21.66,1.87,1.11,0.98,11.09%,10.81%,12.36%
EMG,Software (Entertainment),40,28.12%,25.74%,138.82,6.44,7.69,1.79,18.09%,19.97%,16.63%
EMG,Software (Internet),30,9.36%,4.76%,35.22,3.1,1.15,0.88,10.28%,16.51%,12.61%
EMG,Software (System & Application),335,11.65%,8.88%,77.87,3.26,3.65,1.41,14.77%,16.61%,12.82%
EMG,Steel,508,6.59%,3.45%,33.97,0.94,0.58,1.21,13.04%,12.20%,9.46%
EMG,Telecom (Wireless),60,8.64%,1.37%,37.15,1.52,1.43,0.99,11.20%,8.07%,13.60%
EMG,Telecom. Equipment,296,3.52%,-0.06%,78.64,2.23,1.4,1.45,15.16%,13.83%,10.03%
EMG,Telecom. Services,128,10.56%,2.09%,83.41,1.54,1.43,0.99,11.16%,10.19%,14.14%
EMG,Tobacco,27,35.37%,12.53%,58.31,8.33,4.83,0.82,9.75%,11.04%,15.76%
EMG,Transportation,176,12.66%,6.89%,30.17,1.4,0.95,1.11,12.20%,14.22%,12.21%
EMG,Transportation (Railroads),11,11.40%,7.30%,23.51,1.52,2.63,1.45,15.14%,1.29%,19.21%
EMG,Trucking,100,8.56%,4.71%,27.43,1.51,1,0.94,10.76%,13.74%,10.80%
EMG,Utility (General),10,6.98%,2.54%,65.26,0.75,0.99,1.12,12.32%,1.04%,7.55%
EMG,Utility (Water),66,9.85%,6.54%,38.88,1.27,2.4,1.11,12.18%,5.14%,15.68%
